,College,Sentiment,Rating
46,Evergreen Valley College,0.371254965024566,3.8441358024691406
47,San José City College,0.3668469338196599,3.7713804713804726
48,Las Positas College,0.35523552915678464,3.7571010248901935
49,Chabot College,0.36570097674548974,3.8551171393341646
50,Mission College,0.3444727455079717,3.858090614886737
51,West Valley College,0.3637159221425774,3.8990726429675493
52,Bakersfield College,0.3549900774407447,3.990369799691842
53,Cerro Coso Community College,0.36868917101387044,3.7476744186046513
54,Porterville College,0.3794521648540539,4.079545454545453
55,Merced College,0.35195411558125345,3.895245641838355
56,San Joaquin Delta College,0.3763369078395708,3.971068548387101
57,College of the Sequoias,0.37785903752477823,4.038400000000003
58,Fresno City College,0.35886663848182776,3.9106471816283976
59,Reedley College,0.36106282598460665,3.9124681933842185
60,Madera Community College,0.3603793537879889,3.9821782178217804
61,Clovis Community College,0.37030893699214096,3.780038022813684
62,Coalinga College,0.36868917101387044,3.0083333333333333
63,Lemoore College,0.3685597022020563,3.892617449664427
64,Columbia College,0.36690692849546336,3.8532467532467525
65,Modesto Junior College,0.374029219612765,3.924010791366912
66,Allan Hancock College,0.36066915115356313,3.945454545454548
67,Antelope Valley College,0.3718808556270191,3.9996457041629787
68,Cuesta College,0.3590240324053062,3.8294117647058874
69,Santa Barbara City College,0.3674720841323102,3.938938053097351
70,College of the Canyons,0.37021882102151027,3.9003346720214234
71,Moorpark College,0.3661155945273141,3.79991134751774
72,Oxnard College,0.3699812266782174,4.0388451443569515
73,Ventura College,0.3593894121746382,3.820889987639065
74,Taft College,0.36835120314102476,3.8953216374268993
75,Compton College,0.36749392533406866,3.985204081632649
76,El Camino College,0.36145179546128625,3.913053750738337
77,Glendale Community College,0.36868917101387044,3.79433962264151
78,Los Angeles City College,0.3692687623995767,3.908419958419962
79,Los Angeles Harbor College,0.36873567151170633,3.816049382716048
80,Los Angeles Mission College,0.37676666686439286,4.003915171288745
81,Los Angeles Pierce College,0.36868917101387044,3.8982879377431923
82,Los Angeles Southwest College,0.3642498813623133,3.8161473087818667
83,Los Angeles Trade-Technical College,0.3731071595008414,3.8498220640569394
84,Los Angeles Valley College,0.3553195981379124,3.960570918822481
85,East Los Angeles College,0.36868917101387044,5.0
86,West Los Angeles College,0.3835720057928936,3.8121163166397456
87,Pasadena City College,0.37818216330286725,3.9173160173160197
88,Santa Monica College,0.3740936074891276,3.906907308377898
89,Cerritos College,0.3677363426134804,3.9712027491408994
90,Citrus College,0.3719959754438853,3.924432989690724
91,Coastline College,0.36868917101387044,3.558823529411764
92,Golden West College,0.36711177586759014,3.847158524426728
93,Orange Coast College,0.3726095627348623,3.8835006273525785
94,Long Beach City College,0.37675799294027773,3.975078043704479
95,Mt. San Antonio College,0.36256862022149333,3.992869127516776
96,Cypress College,0.3725776899597105,3.982956259426855
97,Fullerton College,0.38749147800096867,3.927662037037044
98,Santa Ana College,0.35690424272807175,3.9243287225386565
99,Santiago Canyon College,0.3727986753906569,3.7483821263482353
100,Rio Hondo College,0.36336615703925074,4.021442687747043
101,Saddleback College,0.36042071323672975,3.9266378244746685
102,Irvine Valley College,0.3520659216673242,3.8465838509316823
103,Barstow Community College,0.36645249574139827,3.74029126213592
104,Chaffey College,0.36408934214662697,3.896334537945284
105,College of the Desert,0.37785903752477823,4.038400000000003
106,Mt. San Jacinto College,0.3637642589883637,3.837459070072044
107,Palo Verde College,0.36868917101387044,4.055555555555555
108,Riverside City College,0.3593399044927776,3.867803278688528
109,Moreno Valley College,0.34309450671245345,3.935273972602736
110,Norco College,0.368066195766863,3.8446404341926743
111,Copper Mountain College,0.35851597471124147,3.7785185185185184
112,Crafton Hills College,0.368916898169036,3.885689354275742
113,San Bernardino Valley College,0.3613793487426998,3.9264880952381027
114,Victor Valley College,0.3549508163659444,3.963096623981381
